step,weight,loss
0,-1.0,18.0
1,0.20000000000786144,6.479999999943398
2,0.9200000000063611,2.3327999999725204
3,1.3520000000076813,0.83980799998009
4,1.611200000006142,0.30233087999044805
5,1.7667200000047742,0.10883911679554506
6,1.8600320000034958,0.03918208204604281
7,1.916019200002451,0.014105549536456666
8,1.949611520001701,0.005077997833077954
9,1.9697669120011538,0.0018280792198919521
10,1.9818601472007713,0.0006581085191553703
11,1.9891160883205103,0.00023691906689386264
12,1.9934696529923348,8.52908640810435e-05
13,1.996081791795418,3.0704711068909086e-05
14,1.997649075077261,1.1053695984709969e-05
15,1.9985894450463628,3.97933055446076e-06
16,1.9991536670278214,1.4325589995933956e-06
17,1.999492200216695,5.157212398491123e-07
18,1.9996953201300183,1.85659646344165e-07
19,1.9998171920780117,6.683747268337983e-08
20,1.9998903152468075,2.4061490165802415e-08
